masv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
A27E2507XPvAibaEXe+yU1j0ocViqQmevvgfIZi+,THPT,27,2,50,THPT Tr??ng Chinh
61886879XPvAibaEXe+yU1j0ocViqfTUK2EbVhjZ,THPT,27,48,6,THPT Nguy?n Tr„i
DEA3783EXPvAibaEXe+yU1j0ocViqZOr0fWYBAOj,THPT,25.5,48,21,THPT Xu‚n L?c
AE78A5C2XPvAibaEXe+yU1j0ocViqV7UP2kSRFnX,THPT,26,44,21,THPT Nguy?n Tr„i
CAF1C679XPvAibaEXe+yU1j0ocViqc3aOVuIyn2Y,THPT,27.5,41,12,THPT Nguy?n Tr„i
9E398853XPvAibaEXe+yU1j0ocViqeu3f7/HMvAo,THPT,25.5,2,262,THCS THPT T‚n Ph˙
F94DE2CDXPvAibaEXe+yU1j0ocViqVVrG08BKChW,THPT,24,35,32,Trung t‚m GDNN-GDTX huy?n M? ??c
FA254441XPvAibaEXe+yU1j0ocViqeDyPSpZ8AwW,THPT,26.5,48,87,THPT Nguy?n B?nh KhiÍm
EB87A112XPvAibaEXe+yU1j0ocViqSbXKj24nkqQ,THPT,26.5,48,3,THPT NgÙ Quy?n
A4EEB45EXPvAibaEXe+wmtNhlfgIwjN3iuw7Uj8E,THPT,27.5,51,37,THPT Nguy?n B?nh KhiÍm
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,THPT,26,31,4,THPT ChuyÍn Vı NguyÍn Gi·p
B3A50C98XPvAibaEXe+wmtNhlfgIwn75T0yboEDj,THPT,25,51,31,THPT Ch‚u V?n LiÍm
C4B57B74XPvAibaEXe+wmtNhlfgIwrNTVgutCknX,THPT,27.5,42,21,THPT Di Linh
EAFB8611XPvAibaEXe+wmtNhlfgIwhUtxuTJu+OP,THPT,24,45,17,THPT chuyÍn LÍ QuÌ ?Ùn
EAD40691XPvAibaEXe+wmtNhlfgIwtb87cTjmzYb,THPT,25.5,52,8,THCS - THPT Song ng?
6B2F14CCXPvAibaEXe+wmtNhlfgIwsa71h+ulLl3,THPT,29,2,42,THPT Nguy?n An Ninh
66B24040XPvAibaEXe+wmtNhlfgIwn9iSiemRgPv,THPT,22,45,4,THPT An Ph??c
08890FF6XPvAibaEXe+wmtNhlfgIwlWvQAJnsgPn,THPT,27,2,62,THPT Thanh ?a
177E1625XPvAibaEXe+wmtNhlfgIwqLKPQJCRQi5,THPT,24,40,10,THPT BuÙn H?
